Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000100929.2	1	0	6	0	0	2	1	0
ENSMUSG00000041809.6	21	57	63	18	30	10	23	60
ENSMUSG00000041779.6	199	353	392	438	625	163	412	256
ENSMUSG00000137435.1	5	7	10	8	0	0	2	8
ENSMUSG00000099971.2	0	0	4	7	0	0	0	3
ENSMUSG00000129840.1	17	6	4	3	0	0	0	9
ENSMUSG00000100819.2	1	0	3	0	0	0	0	0
ENSMUSG00000129885.1	13	5	24	7	11	0	10	53
ENSMUSG00000099343.3	17	16	5	4	5	0	0	10
ENSMUSG00000025933.16	18	46	29	27	72	11	18	22
ENSMUSG00000102633.2	8	2	8	12	10	4	5	33
ENSMUSG00000025934.16	21	46	31	17	33	9	16	58
ENSMUSG00000138037.1	0	0	0	0	0	0	0	0
ENSMUSG00000096375.3	0	0	0	0	0	0	0	0
ENSMUSG00000121505.2	34	34	81	28	48	3	17	88
ENSMUSG00000025936.18	0	0	0	0	0	0	0	0
ENSMUSG00000141880.1	8	4	8	0	6	0	0	11
ENSMUSG00000093963.2	3	0	5	3	0	0	0	6
ENSMUSG00000141838.1	3	3	2	2	0	1	0	2
ENSMUSG00000067750.4	3	8	15	14	7	0	0	14
ENSMUSG00000086194.2	1	2	4	0	0	0	0	5
ENSMUSG00000141922.1	4	5	8	0	10	0	2	11
ENSMUSG00000094436.2	0	0	0	0	0	0	0	0
ENSMUSG00000041722.8	0	5	0	4	2	1	1	1
ENSMUSG00000085507.2	0	1	12	0	0	0	5	3
ENSMUSG00000094926.2	2	0	2	0	0	0	0	10
ENSMUSG00000085079.4	18	13	16	3	6	0	2	15
ENSMUSG00000129191.1	23	17	21	0	0	0	0	12
ENSMUSG00000085679.3	0	0	1	0	0	0	0	0
ENSMUSG00000028033.17	83	107	127	74	122	19	48	141
ENSMUSG00000104138.2	28	37	18	10	13	2	7	98
ENSMUSG00000128794.1	5	3	10	0	0	0	7	7
ENSMUSG00000082935.4	25	9	32	4	6	5	4	18
ENSMUSG00000103748.2	47	44	50	11	32	6	22	64
ENSMUSG00000124418.1	9	17	30	6	46	8	32	39
ENSMUSG00000123368.1	10	10	13	15	10	4	13	34
