Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000025936.18	0	0	0	0	0	0	0	0
ENSMUSG00000141880.1	8	4	8	0	6	2	0	11
ENSMUSG00000093963.2	3	1	5	3	0	0	0	6
ENSMUSG00000141838.1	3	3	2	2	0	2	0	2
ENSMUSG00000067750.4	2	0	8	14	8	0	0	9
ENSMUSG00000086194.2	1	2	4	0	0	0	0	5
ENSMUSG00000141922.1	4	5	9	0	10	0	1	11
ENSMUSG00000094436.2	0	0	0	0	0	0	0	0
ENSMUSG00000041722.8	0	5	0	3	2	1	0	1
ENSMUSG00000085507.2	0	1	13	0	0	0	5	3
ENSMUSG00000094926.2	0	0	2	0	0	0	0	11
ENSMUSG00000085079.4	18	13	17	3	6	0	2	14
ENSMUSG00000129191.1	22	17	21	0	0	0	0	12
ENSMUSG00000085679.3	0	0	1	0	0	0	0	0
ENSMUSG00000028033.17	87	107	129	73	123	20	58	141
ENSMUSG00000104138.2	28	36	19	10	13	2	6	94
ENSMUSG00000128794.1	5	3	10	0	0	0	7	8
ENSMUSG00000082935.4	44	65	62	39	90	24	57	57
ENSMUSG00000103748.2	47	46	51	11	34	6	25	67
ENSMUSG00000124418.1	8	16	32	6	46	8	32	40
ENSMUSG00000123368.1	10	10	13	15	10	4	15	35
ENSMUSG00000099692.2	8	5	6	3	5	0	9	18
ENSMUSG00000140384.1	4	0	0	5	2	1	5	12
ENSMUSG00000124412.1	6	0	4	0	4	2	0	5
ENSMUSG00000100418.2	21	6	27	1	3	1	2	21
ENSMUSG00000128972.1	6	22	17	9	7	2	0	15
ENSMUSG00000135509.1	2	5	9	0	0	0	0	13
ENSMUSG00000041670.20	88	95	133	62	44	18	55	165
ENSMUSG00000097642.2	8	6	9	3	4	0	8	13
ENSMUSG00000131366.1	1	3	3	2	4	0	3	5
ENSMUSG00000141541.1	7	2	0	1	2	0	2	7
ENSMUSG00000128277.1	3	4	0	0	0	0	0	0
ENSMUSG00000101468.2	0	14	6	0	2	0	5	9
ENSMUSG00000101227.3	30	47	38	14	12	0	7	72
ENSMUSG00000073730.3	4	16	3	4	4	22	0	31
ENSMUSG00000141721.1	18	16	35	1	5	0	9	26
ENSMUSG00000141755.1	16	4	6	4	1	2	0	16
ENSMUSG00000089553.3	2	1	1	4	1	0	0	6
ENSMUSG00000102766.2	0	4	6	5	0	2	0	1
ENSMUSG00000134304.1	115	158	164	47	115	21	81	207
ENSMUSG00000065405.5	0	0	0	0	1	0	0	0
ENSMUSG00000097970.2	2	7	3	0	6	0	5	8
ENSMUSG00000065567.3	0	0	0	0	0	0	0	0
ENSMUSG00000100775.2	3	3	0	0	1	0	0	0
ENSMUSG00000133147.1	7	24	8	10	14	0	12	16
ENSMUSG00000101226.2	6	4	8	2	5	1	9	17
ENSMUSG00000026158.12	430	1122	519	561	2282	182	588	839
ENSMUSG00000138593.1	21	12	38	8	7	0	11	32
ENSMUSG00000097920.2	10	20	24	10	3	1	8	38
ENSMUSG00000099503.3	36	35	31	1	7	0	9	31
ENSMUSG00000142633.1	0	0	4	0	6	2	0	4
ENSMUSG00000026156.9	42	41	59	61	58	6	30	112
ENSMUSG00000026155.14	220	388	235	230	633	70	297	331
ENSMUSG00000141937.1	3	6	7	1	1	0	0	9
ENSMUSG00000141893.1	13	25	15	1	2	3	9	18
ENSMUSG00000026154.5	48	89	30	47	133	22	71	76
ENSMUSG00000102495.2	9	3	0	4	6	0	6	16
ENSMUSG00000026153.16	170	313	319	132	195	42	176	345
ENSMUSG00000143955.1	0	0	0	1	0	0	0	0
ENSMUSG00000102398.2	19	13	28	7	9	2	4	18
ENSMUSG00000122847.1	30	44	70	11	24	3	12	27
ENSMUSG00000097670.2	14	26	42	9	5	0	7	20
ENSMUSG00000026147.17	92	71	87	45	37	90	32	110
ENSMUSG00000026141.14	134	81	125	62	88	17	36	211
ENSMUSG00000125396.1	14	18	22	9	9	1	7	22
ENSMUSG00000125434.1	7	11	6	1	2	0	6	3
ENSMUSG00000077463.3	0	0	2	1	2	0	0	0
ENSMUSG00000099997.2	23	20	24	9	19	1	11	20
ENSMUSG00000100131.2	10	35	21	30	33	2	17	51
ENSMUSG00000067736.3	4	19	11	117	12	2	7	29
ENSMUSG00000138098.1	0	0	0	0	0	0	0	0
ENSMUSG00000101939.2	0	0	0	0	0	0	0	0
ENSMUSG00000101111.2	23	98	25	44	90	11	39	138
ENSMUSG00000100862.2	21	86	17	37	64	6	54	104
ENSMUSG00000102070.2	25	31	9	16	27	4	30	53
ENSMUSG00000101249.2	31	54	26	31	78	2	60	67
ENSMUSG00000127021.1	2	1	0	2	1	1	3	6
ENSMUSG00000073725.9	441	947	533	405	1523	205	615	815
ENSMUSG00000133176.1	2	0	5	2	1	0	0	13
ENSMUSG00000129414.1	2	3	4	1	0	0	0	5
